prompt,A,B,C,D,E,answer
What is the primary role of Robin Juhkental in the band Malcolm Lincoln?,Robin Juhkental is the bassist of Malcolm Lincoln and is responsible for laying down the foundation of their music.,Robin Juhkental is the keyboardist of Malcolm Lincoln and adds atmospheric sounds to their music.,Robin Juhkental is the drummer of Malcolm Lincoln and keeps the beat for the band's songs.,Robin Juhkental is the lead singer of Malcolm Lincoln and provides vocals for the band's songs.,Robin Juhkental is the lead guitarist of Malcolm Lincoln and is responsible for creating unique guitar melodies and solos.,D
Which of the following statements is true regarding the theories of relativity?,The theory of relativity only encompasses one theory by Albert Einstein.,Special relativity explains the law of gravitation and its relation to other forces of nature.,The theory of relativity does not encompass any theories by Albert Einstein.,"Special relativity applies to the cosmological and astrophysical domain, including the motion of planets, stars, and galaxies.",General relativity only applies to the motion of elementary particles and their interactions.,D
"In which country was the 1920 collection of comic short stories, ""The Courts of Idleness,"" written?",United States,Germany,Australia,France,England,E
"What is one of the areas that Shimon Dovid Cowen is known for publicly opposing, based on his research on the Noahide Laws?","Environmental conservation, opposing deforestation and promoting sustainable practices.","Homosexuality, looser abortion laws and voluntary assisted dying legislation.","Freedom of speech, advocating for increased limitations on expression.","Gun control, advocating for stricter regulations on firearms.","Animal rights, opposing the use of animals for scientific research and entertainment purposes.",B
When did the Dirt Road Diaries Tour begin and end?,"February 17, 2014 - November 26, 2014","January 17, 2014 - October 26, 2014","February 17, 2013 - November 26, 2013","March 17, 2013 - December 26, 2013","January 17, 2013 - October 26, 2013",E
What is the purpose of the Education and Skills Act 2008 in the United Kingdom?,The Education and Skills Act 2008 allocated additional funding towards university scholarships for students in the United Kingdom.,The Education and Skills Act 2008 increased the minimum age at which a person can leave education or training in the United Kingdom.,The Education and Skills Act 2008 aimed to improve the quality of vocational training programs in the United Kingdom.,The Education and Skills Act 2008 introduced new regulations for teacher qualifications and certifications in the United Kingdom.,The Education and Skills Act 2008 established a standardized curriculum for all schools in the United Kingdom.,B
Whose name was Clay County in Kansas named after?,"Henry Clay, a famous scientist","Henry Clay, a renowned painter","Henry Clay, a famous explorer","Henry Clay, an influential U.S. Senator from Kentucky","Henry Clay, a former president of the United States",D
"Which of the following accurately describes the relationship between the film ""Masterminds"" and the Loomis Fargo robbery in North Carolina?","""Masterminds"" is a sci-fi film that depicts a fictional heist set in a futuristic version of North Carolina.","""Masterminds"" is a biographical film that accurately depicts the events of the Loomis Fargo robbery.","""Masterminds"" is a reenactment of the Loomis Fargo robbery, using the actual individuals involved in the crime.","""Masterminds"" is a documentary film that provides an in-depth analysis of the Loomis Fargo robbery.","""Masterminds"" is a fictional film that is loosely inspired by the Loomis Fargo robbery.",E
What is the enrollment size of the Kalaidos University of Applied Sciences Switzerland based on the provided Wikipedia excerpt?,"6,000 students","2,500 students","8,000 students","1,000 students","4,400 students",E
"What is the meaning of the Latin-derived specific epithet ""vaginatus"" in the plant Schoenus vaginatus?","""Tall""","""Hairy""","""Sheath""","""Grass-like""","""Round""",C
"What was Wilhelm Schepmann's position in the Nazi paramilitary branch, the SA?","Wilhelm Schepmann was an officer in the Nazi paramilitary branch, the SA, responsible for recruitment and training.","Wilhelm Schepmann was a member of the SS, a separate paramilitary organization from the SA.","Wilhelm Schepmann was an SA general in Nazi Germany and the last Stabschef of the original Nazi paramilitary branch, the SA.",Wilhelm Schepmann was a civilian bureaucrat who had no direct involvement with the Nazi paramilitary branches.,"Wilhelm Schepmann was a prominent leader in the NSDAP, but he was not affiliated with the SA.",C
How did the 2017-18 Charlotte 49ers men's basketball team perform during the NCAA Division I men's basketball season?,The team qualified for the C-USA tournament.,The team did not play any games during the season.,"The team had a losing season, finishing with more losses than wins.","The team had a winning season, finishing with more wins than losses.","The team had an even season, finishing with an equal number of wins and losses.",C
"According to the provided Wikipedia excerpt, what is the reason behind the popularity of MYmovies.it among Italian internet users?",MYmovies.it features a comprehensive database on Italian films and television series from 1895 to present.,MYmovies.it provides international news related to film.,MYmovies.it is particularly popular among Italian women aged 25 to 45 according to demographic surveys.,"MYmovies.it is known for its streaming platform, Mymovieslive!, which was launched in 2010.",MYmovies.it is the 56th most popular website among internet users worldwide.,E
What is the certification status of The Smashing Pumpkins' music video Vieuphoria?,Vieuphoria was certified diamond by the RIAA in late 1996.,Vieuphoria was certified gold by the RIAA in late 1996.,Vieuphoria was certified silver by the RIAA in late 1996.,Vieuphoria was not certified by the RIAA.,Vieuphoria was certified platinum by the RIAA in late 1996.,B
What is the administrative center of Moshenskoy District?,Pestovsky District,Udomelsky District of Tver Oblast,Moshenskoye,Khvoyninsky District,Lesnoy District of Tver Oblast,C
What was the cause of the collapse of the Landesbank der Rheinprovinz?,The collapse of the Landesbank was due to a global economic downturn affecting the banking industry.,The collapse of the Landesbank was caused by mismanagement and irresponsible lending practices leading to financial insolvency.,"The collapse of the Landesbank was a result of the European banking crisis of 1931, triggered by the collapse of Austria's Creditanstalt and followed by Danatbank.",The collapse of the Landesbank was a result of fraudulent activities committed by high-ranking bank officials.,The collapse of the Landesbank was caused by a significant decrease in government support.,C
What can be concluded about Lincoln County based on the given Wikipedia excerpt?,"It is a county in the state of New South Wales, Australia.",It is located in a different country than New South Wales.,It is a region known for its historical landmarks.,It is one of the 141 Cadastral divisions of Australia.,"It is a division within Dubbo, New South Wales.",A
In which team does Dennis Sveum currently play for as an ice hockey player?,Norwegian national team,Trondheim Black Panthers,Stavanger Oilers,No team at the moment,Bergen Tigers,C
"Who directed the 1920 American silent comedy film ""The Mysterious Stranger"" featuring Oliver Hardy?",Jess Robbins,Fatty Arbuckle,Buster Keaton,Harold Lloyd,Charlie Chaplin,A
